year,time_in,time_out,pair,direction,status,lot,entry,exit,sl,tp,pnl,balance
2021,2021-01-26 09:30:00,2021-01-26 10:30:00,GBPUSD,SHORT,SL,0.06,1.3613,1.36305,1.36305,1.35955,-10.53,989.47
2021,2021-04-19 10:45:00,2021-04-19 11:30:00,USDCHF,SHORT,TP,0.07,0.91634,0.91502,0.91766,0.91502,10.1,999.57
2021,2021-04-19 11:15:00,2021-04-19 12:30:00,USDCHF,SHORT,TP,0.06,0.91537,0.91387,0.91687,0.91387,9.82,1009.39
2021,2021-04-19 11:30:00,2021-04-19 13:45:00,USDCHF,SHORT,TP,0.06,0.91461,0.91298,0.91624,0.91298,10.69,1020.09
2021,2021-04-19 12:30:00,2021-04-19 16:45:00,USDCHF,SHORT,SL,0.05,0.91366,0.91541,0.91541,0.91191,-9.54,1010.55
2021,2021-05-12 15:30:00,2021-05-12 15:45:00,USDJPY,LONG,SL,0.08,109.142,108.99629,108.99629,109.28771,-10.69,999.86
2021,2021-05-19 11:15:00,2021-05-19 14:15:00,USDCHF,LONG,TP,0.08,0.90092,0.90211,0.89973,0.90211,10.58,1010.43
2021,2021-08-11 15:30:00,2021-08-11 23:45:00,NZDUSD,LONG,SL,0.07,0.70511,0.70358,0.70358,0.70664,-10.7,999.73
2021,2021-09-23 10:30:00,2021-09-23 11:15:00,USDCAD,SHORT,TP,0.07,1.26809,1.26619,1.26999,1.26619,10.5,1010.24
2021,2021-12-16 10:30:00,2021-12-16 12:45:00,USDCAD,SHORT,TP,0.08,1.27915,1.2776,1.2807,1.2776,9.7,1019.93
2022,2022-01-12 15:30:00,2022-01-12 16:15:00,NZDUSD,LONG,TP,0.08,0.68083,0.68212,0.67954,0.68212,10.29,1030.22
2022,2022-02-10 15:30:00,2022-02-10 17:00:00,USDCHF,LONG,SL,0.06,0.92814,0.92645,0.92645,0.92983,-10.95,1019.28
2022,2022-02-10 15:30:00,2022-02-10 16:30:00,NZDUSD,SHORT,SL,0.08,0.66604,0.6673,0.6673,0.66478,-10.1,1009.17
2022,2022-02-10 15:30:00,2022-02-10 16:45:00,GBPUSD,SHORT,SL,0.05,1.35381,1.35584,1.35584,1.35178,-10.15,999.02
2022,2022-02-10 15:30:00,2022-02-10 16:15:00,EURUSD,SHORT,TP,0.05,1.13974,1.13782,1.14166,1.13782,9.59,1008.61
2022,2022-02-10 15:30:00,2022-02-10 16:30:00,AUDUSD,SHORT,SL,0.07,0.71617,0.71755,0.71755,0.71479,-9.65,998.96
2022,2022-04-05 07:30:00,2022-04-05 08:30:00,NZDUSD,LONG,TP,0.11,0.69753,0.69844,0.69662,0.69844,10.03,1008.98
