year,time_in,time_out,pair,direction,status,lot,entry,exit,sl,tp,pnl,balance
2021,2021-02-22 10:15:00,2021-02-22 11:15:00,USDCHF,LONG,SL,0.08,0.90204,0.90088,0.90088,0.9032,-10.34,989.66
2021,2021-03-03 09:15:00,2021-03-03 10:15:00,GBPUSD,LONG,SL,0.06,1.39823,1.39655,1.39655,1.39991,-10.09,979.57
2021,2021-03-09 09:15:00,2021-03-09 09:45:00,GBPUSD,LONG,TP,0.06,1.38659,1.38828,1.3849,1.38828,10.13,989.7
2021,2021-03-18 09:15:00,2021-03-18 09:45:00,USDJPY,LONG,TP,0.08,109.108,109.24886,108.96714,109.24886,10.31,1000.02
2021,2021-03-18 09:15:00,2021-03-18 09:30:00,EURUSD,SHORT,TP,0.08,1.19621,1.19492,1.1975,1.19492,10.32,1010.34
2021,2021-04-19 10:45:00,2021-04-19 11:30:00,USDCHF,SHORT,TP,0.07,0.91634,0.91502,0.91766,0.91502,10.1,1020.44
2021,2021-06-04 15:30:00,2021-06-04 16:00:00,AUDUSD,LONG,TP,0.06,0.77051,0.77209,0.76893,0.77209,9.46,1029.9
2021,2021-11-29 07:30:00,2021-11-29 08:15:00,USDJPY,SHORT,TP,0.05,113.266,113.04686,113.48514,113.04686,9.69,1039.59
2021,2021-11-29 08:45:00,2021-11-29 09:45:00,USDJPY,LONG,TP,0.05,113.323,113.58129,113.06471,113.58129,11.37,1050.96
2021,2021-11-29 09:00:00,2021-11-29 11:00:00,USDJPY,LONG,SL,0.04,113.497,113.231,113.231,113.763,-9.4,1041.57
2022,2022-06-17 09:45:00,2022-06-17 16:30:00,USDJPY,LONG,TP,0.02,134.358,134.919,133.797,134.919,8.32,1049.88
2022,2022-07-08 15:30:00,2022-07-08 17:00:00,USDJPY,LONG,SL,0.05,136.469,136.19586,136.19586,136.74214,-10.03,1039.85
2022,2022-07-13 15:30:00,2022-07-13 15:45:00,USDJPY,LONG,SL,0.06,137.683,137.45643,137.45643,137.90957,-9.89,1029.96
2022,2022-08-05 15:30:00,2022-08-05 16:00:00,USDJPY,LONG,TP,0.03,134.439,134.85171,134.02629,134.85171,9.18,1039.15
2022,2022-08-10 15:30:00,2022-08-10 16:30:00,GBPUSD,LONG,SL,0.02,1.22426,1.21992,1.21992,1.2286,-8.69,1030.46
2022,2022-08-10 15:30:00,2022-08-10 16:00:00,USDJPY,SHORT,SL,0.03,132.77,133.30071,133.30071,132.23929,-11.94,1018.51
2022,2022-09-22 10:30:00,2022-09-22 11:45:00,USDCHF,LONG,SL,0.03,0.97628,0.97234,0.97234,0.98022,-12.16,1006.35
2022,2022-11-10 15:30:00,2022-11-10 17:30:00,NZDUSD,LONG,TP,0.03,0.59728,0.60065,0.59391,0.60065,10.1,1016.45
2022,2022-11-10 15:30:00,2022-11-10 17:00:00,EURUSD,LONG,TP,0.02,1.01207,1.01691,1.00723,1.01691,9.69,1026.14
2022,2022-11-10 15:30:00,2022-11-10 16:15:00,USDJPY,SHORT,TP,0.03,143.717,143.14657,144.28743,143.14657,11.95,1038.09
2022,2022-11-10 15:30:00,2022-11-10 17:00:00,AUDUSD,LONG,TP,0.03,0.65392,0.65762,0.65022,0.65762,11.1,1049.2
2022,2022-11-10 15:30:00,2022-11-10 16:45:00,USDCAD,SHORT,TP,0.03,1.34045,1.33592,1.34498,1.33592,10.17,1059.37
2022,2022-11-10 15:30:00,2022-11-10 16:45:00,GBPUSD,LONG,TP,0.02,1.15929,1.16548,1.1531,1.16548,12.37,1071.74
2022,2022-12-02 15:30:00,2022-12-02 15:45:00,USDJPY,LONG,SL,0.03,135.891,135.32029,135.32029,136.46171,-12.65,1059.09
2023,2023-02-03 15:30:00,2023-02-03 16:15:00,USDCHF,LONG,TP,0.05,0.92154,0.92365,0.91943,0.92365,11.44,1070.53
2023,2023-02-03 15:30:00,2023-02-03 16:15:00,USDJPY,LONG,TP,0.04,129.961,130.32329,129.59871,130.32329,11.12,1081.65
2023,2023-02-06 11:00:00,2023-02-06 15:15:00,USDJPY,LONG,TP,0.04,131.978,132.30814,131.64786,132.30814,9.98,1091.63
2023,2023-04-07 15:30:00,2023-04-07 18:15:00,USDJPY,LONG,SL,0.06,132.251,131.99943,131.99943,132.50257,-11.44,1080.19
2023,2023-04-07 15:30:00,2023-04-07 15:45:00,GBPUSD,SHORT,SL,0.07,1.23973,1.24117,1.24117,1.23829,-10.09,1070.1
2023,2023-04-25 10:00:00,2023-04-25 12:15:00,USDJPY,SHORT,TP,0.07,134.197,133.99014,134.40386,133.99014,10.81,1080.91
2023,2023-11-03 14:30:00,2023-11-03 16:00:00,USDJPY,SHORT,SL,0.07,149.401,149.61657,149.61657,149.18543,-10.09,1070.82
2023,2023-11-14 15:30:00,2023-11-14 16:45:00,NZDUSD,LONG,TP,0.05,0.59465,0.59679,0.59251,0.59679,10.68,1081.5
2023,2023-11-14 15:30:00,2023-11-14 17:00:00,USDJPY,SHORT,TP,0.09,150.901,150.71729,151.08471,150.71729,10.97,1092.47
2023,2023-11-15 15:30:00,2023-11-15 16:45:00,USDJPY,LONG,TP,0.06,150.878,151.14429,150.61171,151.14429,10.57,1103.04
2023,2023-12-08 09:30:00,2023-12-08 13:00:00,USDJPY,SHORT,SL,0.04,144.017,144.46871,144.46871,143.56529,-12.51,1090.54
2024,2024-01-11 15:30:00,2024-01-11 16:00:00,USDCHF,LONG,TP,0.05,0.85361,0.85557,0.85165,0.85557,11.47,1102.01
2024,2024-01-11 15:30:00,2024-01-11 16:00:00,USDJPY,LONG,TP,0.05,145.919,146.26143,145.57657,146.26143,11.71,1113.71
2024,2024-01-11 15:30:00,2024-01-11 16:00:00,EURUSD,SHORT,TP,0.06,1.09504,1.09314,1.09694,1.09314,11.38,1125.1
