date,pnl,balance,trades,cumulative_return
2021-02-22,-10.34,989.66,1,-1.0340000000000016
2021-03-03,-10.09,979.57,1,-2.042999999999995
2021-03-09,10.13,989.7,1,-1.0299999999999976
2021-03-18,20.630000000000003,1010.34,2,1.0340000000000016
2021-04-19,10.1,1020.44,1,2.0440000000000014
2021-06-04,9.46,1029.9,1,2.9900000000000038
2021-11-29,11.659999999999998,1041.57,3,4.1569999999999885
2022-06-17,8.32,1049.88,1,4.988000000000015
2022-07-08,-10.03,1039.85,1,3.984999999999994
2022-07-13,-9.89,1029.96,1,2.9959999999999987
2022-08-05,9.18,1039.15,1,3.915000000000002
2022-08-10,-20.63,1018.51,2,1.8510000000000026
2022-09-22,-12.16,1006.35,1,0.6350000000000078
2022-11-10,65.38,1071.74,6,7.1739999999999915
2022-12-02,-12.65,1059.09,1,5.9089999999999865
2023-02-03,22.56,1081.65,2,8.165
2023-02-06,9.98,1091.63,1,9.163000000000011
2023-04-07,-21.53,1070.1,2,7.009999999999983
2023-04-25,10.81,1080.91,1,8.091000000000005
2023-11-03,-10.09,1070.82,1,7.081999999999988
2023-11-14,21.65,1092.47,2,9.247000000000005
2023-11-15,10.57,1103.04,1,10.304000000000002
2023-12-08,-12.51,1090.54,1,9.054000000000006
2024-01-11,34.56,1125.1,3,12.509999999999998
2024-01-12,11.52,1136.61,1,13.66099999999999
2024-01-19,-11.96,1124.66,1,12.466
2024-02-02,21.619999999999997,1146.28,2,14.627999999999997
2024-02-14,10.88,1157.16,1,15.716000000000019
2024-04-10,-0.7299999999999986,1156.43,2,15.643000000000008
2024-04-29,10.53,1166.96,1,16.695999999999998
2024-05-03,-12.14,1154.82,1,15.481999999999996
2024-05-06,11.99,1166.81,1,16.68099999999999
2024-05-15,-11.47,1155.34,1,15.533999999999981
2024-05-16,10.75,1166.1,1,16.609999999999992
2024-06-07,17.29,1183.39,2,18.339000000000016
2024-06-12,12.32,1195.71,1,19.571000000000005
2024-06-20,12.25,1207.96,1,20.796000000000014
2024-07-04,-11.77,1196.18,1,19.618000000000002
2024-07-11,-36.21,1159.97,3,15.996999999999995
2024-07-15,11.46,1171.42,1,17.142000000000014
2024-07-31,9.35,1180.77,3,18.076999999999988
2024-08-07,-12.61,1168.16,1,16.81600000000001
2024-08-15,12.81,1180.97,1,18.09700000000001
2024-09-06,-11.13,1169.83,1,16.982999999999993
2025-01-14,-23.43,1146.4,2,14.640000000000008
2025-01-15,11.61,1158.01,1,15.800999999999998
2025-04-16,-10.66,1147.35,1,14.734999999999987
2025-05-05,-11.4,1135.95,1,13.595000000000002
2025-05-12,34.05,1170.0,3,16.999999999999993
2025-07-21,12.36,1182.36,1,18.235999999999986
2025-08-01,11.0,1193.36,1,19.336
2025-12-11,12.14,1205.5,1,20.55
